epoch,accuracy,auc,f1,mcc,iou,train_loss,val_loss
0,0.923237817382812,0.833983404743123,0.68181455608101,0.653918413831413,0.589245021073568,0.614250323394101,0.456424345652135
1,0.930274450683594,0.84830561468307,0.709953226687427,0.683959076314928,0.62315987858987,0.522336935287784,0.414701738391821
2,0.936314074707031,0.858816300431232,0.728186719926786,0.705074730460352,0.644855560058068,0.486085917927619,0.385722157578118
3,0.939683325195312,0.859418451564303,0.730550053054711,0.7108647383832,0.650847706685262,0.46384544081373,0.373121742575694
4,0.938132678222656,0.874108771068652,0.749493046078365,0.7263132789136,0.667406662998652,0.446612695020861,0.363443029241059
5,0.942362341308594,0.866653079060129,0.748880712817364,0.729060821861203,0.670134130791742,0.43282735991958,0.353166009576176
6,0.943071997070313,0.874853940100921,0.760712538405318,0.739740685900299,0.683569510307472,0.422250576323032,0.348178776355978
7,0.943553259277344,0.876266275814293,0.762585388623569,0.741890746778039,0.685443639156983,0.412760772559142,0.345084522478878
8,0.946796936035156,0.878585259655803,0.769055372460641,0.749823061528449,0.693937260812672,0.405470551497175,0.330458460976712
9,0.946339965820313,0.882016592599775,0.77512013923172,0.754941262102451,0.698920976454495,0.398892203255597,0.328353840179337
10,0.945257763671875,0.875074541331534,0.765777584205287,0.746276045439699,0.690855920152278,0.392216952758126,0.337797229806074
11,0.948311840820312,0.87862153724613,0.774174713739311,0.755475509121469,0.700665220836385,0.385684567438277,0.323033438656277
